table_name,column_name,data_type
customers,customer_id,STRING
customers,customer_unique_id,STRING
customers,customer_zip_code_prefix,INT64
customers,customer_city,STRING
customers,customer_state,STRING
geolocations,geolocation_zip_code_prefix,INT64
geolocations,geolocation_lat,FLOAT64
geolocations,geolocation_lng,FLOAT64
geolocations,geolocation_city,STRING
geolocations,geolocation_state,STRING
items,order_id,STRING
items,order_item_id,INT64
items,product_id,STRING
items,seller_id,STRING
items,shipping_limit_date,TIMESTAMP
items,price,FLOAT64
items,freight_value,FLOAT64
order_payments,order_id,STRING
order_payments,payment_sequential,INT64
order_payments,payment_type,STRING
order_payments,payment_installments,INT64
order_payments,payment_value,FLOAT64
orders,order_id,STRING
orders,customer_id,STRING
orders,order_status,STRING
orders,order_purchase_timestamp,TIMESTAMP
orders,order_approved_at,TIMESTAMP
orders,order_delivered_carrier_date,TIMESTAMP
orders,order_delivered_customer_date,TIMESTAMP
orders,order_estimated_delivery_date,TIMESTAMP
product,product_id,STRING
product,product_category_name,STRING
product,product_name_lenght,INT64
product,product_description_lenght,INT64
product,product_photos_qty,INT64
product,product_weight_g,INT64
product,product_length_cm,INT64
product,product_height_cm,INT64
product,product_width_cm,INT64
product_category,string_field_0,STRING
product_category,string_field_1,STRING
sellers,seller_id,STRING
sellers,seller_zip_code_prefix,INT64
sellers,seller_city,STRING
sellers,seller_state,STRING
